mbps,conn,secs,server,client,server_st,client_st,size,socket_len,duration,interval
221810,221810,4,server_monoio_mt,client_tokio_mt,false,false,1048576,100,4,2
133725,133725,4,server_tokio_mt,client_tokio_mt,false,false,1048576,100,4,2
88197,88197,4,server_tokio_uring_mt,client_tokio_mt,false,false,1048576,100,4,2
55233,55233,4,server_monoio_st,client_tokio_st,true,true,1048576,100,4,2
54334,54334,4,server_monoio_mt,client_tokio_st,false,true,1048576,100,4,2
39957,39957,4,server_tokio_st,client_tokio_st,true,true,1048576,100,4,2
30862,30862,4,server_tokio_mt,client_tokio_st,false,true,1048576,100,4,2
30576,30576,4,server_async_uring_tokio_mt,client_tokio_st,false,true,1048576,100,4,2
30407,30407,4,server_async_uring_tokio_st,client_tokio_st,true,true,1048576,100,4,2
26772,1713415,4,server_tokio_mt,client_tokio_mt,false,false,16384,100,4,2
26443,1692370,4,server_tokio_mt,client_tokio_mt,false,false,16384,200,4,2
26260,1680681,4,server_tokio_mt,client_tokio_mt,false,false,16384,100,4,2
19655,19655,4,server_tokio_uring_st,client_tokio_st,true,true,1048576,100,4,2
19391,19391,4,server_tokio_uring_mt,client_tokio_st,false,true,1048576,100,4,2
19296,1234979,4,server_monoio_mt,client_tokio_mt,false,false,16384,100,4,2
19009,1216596,4,server_monoio_mt,client_tokio_mt,false,false,16384,100,4,2
18262,1168786,4,server_monoio_mt,client_tokio_mt,false,false,16384,200,4,2
12809,819803,4,server_tokio_uring_mt,client_tokio_mt,false,false,16384,200,4,2
12369,791646,4,server_tokio_uring_mt,client_tokio_mt,false,false,16384,100,4,2
12261,784720,4,server_tokio_uring_mt,client_tokio_mt,false,false,16384,100,4,2
8306,8306,4,server_tokio_st,client_tokio_mt,true,false,1048576,100,4,2
5602,5602,4,server_monoio_st,client_tokio_mt,true,false,1048576,100,4,2
5562,5562,4,server_tokio_uring_st,client_tokio_mt,true,false,1048576,100,4,2
5351,5351,4,server_async_uring_tokio_st,client_tokio_mt,true,false,1048576,100,4,2
5126,5126,4,server_async_uring_tokio_mt,client_tokio_mt,false,false,1048576,100,4,2
4324,276764,4,server_tokio_st,client_tokio_mt,true,false,16384,200,4,2
4266,273030,4,server_tokio_st,client_tokio_mt,true,false,16384,100,4,2
4256,272427,4,server_tokio_st,client_tokio_mt,true,false,16384,100,4,2
3565,228188,4,server_tokio_uring_mt,client_tokio_st,false,true,16384,100,4,2
3560,227843,4,server_tokio_uring_mt,client_tokio_st,false,true,16384,200,4,2
3531,226002,4,server_tokio_mt,client_tokio_st,false,true,16384,100,4,2
3526,225673,4,server_tokio_uring_mt,client_tokio_st,false,true,16384,100,4,2
3494,223627,4,server_monoio_mt,client_tokio_st,false,true,16384,100,4,2
3458,221313,4,server_monoio_mt,client_tokio_st,false,true,16384,200,4,2
3452,220936,4,server_async_uring_tokio_mt,client_tokio_st,false,true,16384,100,4,2
3424,219156,4,server_monoio_mt,client_tokio_st,false,true,16384,100,4,2
3334,213421,4,server_tokio_mt,client_tokio_st,false,true,16384,100,4,2
3287,210384,4,server_async_uring_tokio_mt,client_tokio_st,false,true,16384,100,4,2
3285,210260,4,server_tokio_st,client_tokio_st,true,true,16384,200,4,2
3285,210250,4,server_tokio_mt,client_tokio_st,false,true,16384,200,4,2
3214,205736,4,server_tokio_st,client_tokio_st,true,true,16384,100,4,2
3194,204427,4,server_tokio_st,client_tokio_st,true,true,16384,100,4,2
3067,196304,4,server_async_uring_tokio_st,client_tokio_st,true,true,16384,100,4,2
3029,193897,4,server_async_uring_tokio_mt,client_tokio_st,false,true,16384,200,4,2
3028,193833,4,server_async_uring_tokio_st,client_tokio_st,true,true,16384,100,4,2
3008,192536,4,server_async_uring_tokio_st,client_tokio_mt,true,false,16384,100,4,2
2993,191612,4,server_async_uring_tokio_st,client_tokio_mt,true,false,16384,100,4,2
2918,186803,4,server_async_uring_tokio_mt,client_tokio_mt,false,false,16384,100,4,2
2884,184625,4,server_async_uring_tokio_mt,client_tokio_mt,false,false,16384,100,4,2
2671,170952,4,server_async_uring_tokio_st,client_tokio_mt,true,false,16384,200,4,2
2639,168938,4,server_async_uring_tokio_st,client_tokio_st,true,true,16384,200,4,2
2560,163857,4,server_async_uring_tokio_mt,client_tokio_mt,false,false,16384,200,4,2
2255,144336,4,server_monoio_st,client_tokio_st,true,true,16384,100,4,2
2228,142632,4,server_monoio_st,client_tokio_mt,true,false,16384,100,4,2
2225,142436,4,server_monoio_st,client_tokio_st,true,true,16384,100,4,2
2194,140454,4,server_monoio_st,client_tokio_mt,true,false,16384,100,4,2
2151,137700,4,server_monoio_st,client_tokio_mt,true,false,16384,200,4,2
2120,135706,4,server_monoio_st,client_tokio_st,true,true,16384,200,4,2
1712,109614,4,server_tokio_uring_st,client_tokio_mt,true,false,16384,100,4,2
1688,108036,4,server_tokio_uring_st,client_tokio_mt,true,false,16384,100,4,2
1660,106286,4,server_tokio_uring_st,client_tokio_st,true,true,16384,100,4,2
1650,105644,4,server_tokio_uring_st,client_tokio_st,true,true,16384,100,4,2
1617,103524,4,server_tokio_uring_st,client_tokio_mt,true,false,16384,200,4,2
1611,103113,4,server_tokio_uring_st,client_tokio_st,true,true,16384,200,4,2
