mbps,conn,secs,server,client,server_st,client_st,size,socket_len,duration,interval
231623,231623,30,server_monoio_mt,client_tokio_mt,false,false,1048576,100,30,2
138663,138663,30,server_tokio_mt,client_tokio_mt,false,false,1048576,100,30,2
88957,88957,30,server_tokio_uring_mt,client_tokio_mt,false,false,1048576,100,30,2
56523,56523,30,server_monoio_mt,client_tokio_st,false,true,1048576,100,30,2
56087,56087,30,server_monoio_st,client_tokio_st,true,true,1048576,100,30,2
39407,39407,30,server_tokio_st,client_tokio_st,true,true,1048576,100,30,2
32751,32751,30,server_async_uring_tokio_st,client_tokio_st,true,true,1048576,100,30,2
32050,32050,30,server_async_uring_tokio_mt,client_tokio_st,false,true,1048576,100,30,2
31137,31137,30,server_tokio_mt,client_tokio_st,false,true,1048576,100,30,2
26446,1692588,30,server_tokio_mt,client_tokio_mt,false,false,16384,200,30,2
26412,1690378,4,server_tokio_mt,client_tokio_mt,false,false,16384,100,4,2
26365,1687389,30,server_tokio_mt,client_tokio_mt,false,false,16384,100,30,2
19476,1246495,30,server_monoio_mt,client_tokio_mt,false,false,16384,100,30,2
19397,19397,30,server_tokio_uring_st,client_tokio_st,true,true,1048576,100,30,2
19258,1232520,4,server_monoio_mt,client_tokio_mt,false,false,16384,100,4,2
19131,19131,30,server_tokio_uring_mt,client_tokio_st,false,true,1048576,100,30,2
18609,1190995,30,server_monoio_mt,client_tokio_mt,false,false,16384,200,30,2
13044,834870,30,server_tokio_uring_mt,client_tokio_mt,false,false,16384,200,30,2
12303,787433,30,server_tokio_uring_mt,client_tokio_mt,false,false,16384,100,30,2
12091,773879,4,server_tokio_uring_mt,client_tokio_mt,false,false,16384,100,4,2
7971,7971,30,server_tokio_st,client_tokio_mt,true,false,1048576,100,30,2
5803,5803,30,server_async_uring_tokio_mt,client_tokio_mt,false,false,1048576,100,30,2
5756,5756,30,server_async_uring_tokio_st,client_tokio_mt,true,false,1048576,100,30,2
5577,5577,30,server_tokio_uring_st,client_tokio_mt,true,false,1048576,100,30,2
5577,5577,30,server_monoio_st,client_tokio_mt,true,false,1048576,100,30,2
4276,273710,4,server_tokio_st,client_tokio_mt,true,false,16384,100,4,2
4206,269202,30,server_tokio_st,client_tokio_mt,true,false,16384,100,30,2
4198,268713,30,server_tokio_st,client_tokio_mt,true,false,16384,200,30,2
3565,228200,30,server_tokio_uring_mt,client_tokio_st,false,true,16384,100,30,2
3558,227720,30,server_tokio_uring_mt,client_tokio_st,false,true,16384,200,30,2
3522,225431,4,server_tokio_uring_mt,client_tokio_st,false,true,16384,100,4,2
3463,221646,30,server_monoio_mt,client_tokio_st,false,true,16384,100,30,2
3434,219800,30,server_monoio_mt,client_tokio_st,false,true,16384,200,30,2
3426,219274,30,server_tokio_mt,client_tokio_st,false,true,16384,100,30,2
3411,218362,4,server_monoio_mt,client_tokio_st,false,true,16384,100,4,2
3411,218309,4,server_async_uring_tokio_mt,client_tokio_st,false,true,16384,100,4,2
3407,218102,30,server_tokio_mt,client_tokio_st,false,true,16384,200,30,2
3401,217688,4,server_tokio_mt,client_tokio_st,false,true,16384,100,4,2
3390,217017,30,server_async_uring_tokio_mt,client_tokio_st,false,true,16384,100,30,2
3309,211803,30,server_tokio_st,client_tokio_st,true,true,16384,100,30,2
3306,211613,30,server_tokio_st,client_tokio_st,true,true,16384,200,30,2
3304,211476,4,server_tokio_st,client_tokio_st,true,true,16384,100,4,2
3218,206005,30,server_async_uring_tokio_mt,client_tokio_mt,false,false,16384,100,30,2
3159,202193,4,server_async_uring_tokio_st,client_tokio_st,true,true,16384,100,4,2
3126,200069,30,server_async_uring_tokio_st,client_tokio_mt,true,false,16384,100,30,2
3124,199941,30,server_async_uring_tokio_st,client_tokio_st,true,true,16384,100,30,2
3087,197589,30,server_async_uring_tokio_mt,client_tokio_st,false,true,16384,200,30,2
3042,194724,4,server_async_uring_tokio_mt,client_tokio_mt,false,false,16384,100,4,2
3015,192977,4,server_async_uring_tokio_st,client_tokio_mt,true,false,16384,100,4,2
2901,185701,30,server_async_uring_tokio_st,client_tokio_st,true,true,16384,200,30,2
2880,184322,30,server_async_uring_tokio_st,client_tokio_mt,true,false,16384,200,30,2
2844,182063,30,server_async_uring_tokio_mt,client_tokio_mt,false,false,16384,200,30,2
2244,143662,30,server_monoio_st,client_tokio_st,true,true,16384,100,30,2
2238,143276,30,server_monoio_st,client_tokio_mt,true,false,16384,100,30,2
2221,142205,4,server_monoio_st,client_tokio_mt,true,false,16384,100,4,2
2178,139432,4,server_monoio_st,client_tokio_st,true,true,16384,100,4,2
2133,136565,30,server_monoio_st,client_tokio_mt,true,false,16384,200,30,2
2096,134186,30,server_monoio_st,client_tokio_st,true,true,16384,200,30,2
1688,108034,4,server_tokio_uring_st,client_tokio_st,true,true,16384,100,4,2
1672,107024,30,server_tokio_uring_st,client_tokio_mt,true,false,16384,100,30,2
1665,106585,4,server_tokio_uring_st,client_tokio_mt,true,false,16384,100,4,2
1650,105614,30,server_tokio_uring_st,client_tokio_mt,true,false,16384,200,30,2
1647,105454,30,server_tokio_uring_st,client_tokio_st,true,true,16384,100,30,2
1631,104437,30,server_tokio_uring_st,client_tokio_st,true,true,16384,200,30,2
